pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,total_pitches_game,preferred_pitch,avg_preferred_ff_velocity,batter_name,bat_speed_pred,swing_length_pred,bat_speed_residual,swing_length_residual
FC,2024-06-23,89.6,-1.06,6.47,"Civale, Aaron",665833,650644,,swinging_strike,,,,,3.0,Oneil Cruz called out on strikes.,R,L,R,PIT,TB,S,,,2,0,2024,0.4,0.76,0.78,3.59,,,668804.0,1,1,Bot,,,,,,,3.648029592889544,-130.59086203900048,-2.78809793974331,3.950769780466491,24.99363451927925,-23.064825118451417,3.89,1.82,,,,89.0,2680.0,5.7,745485,656577,650490,680700,670623,670764,668227,642350,676356,54.85,,,,,,,,8,3,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,182.0,0.0,-0.067,79.4,6.6,,0.067,,-1,-1,0.445,0.445,29,25,29,26,1,0,5.0,1.0,6.0,1.0,2.05,-0.4,0.4,50.0,61,FF,92.0,Oneil Cruz,73.00554381472816,6.446323565598907,6.394456185271849,0.1536764344010928
FC,2024-07-11,88.4,-1.09,6.28,"Civale, Aaron",665833,650644,single,hit_into_play,,,,,8.0,Oneil Cruz singles on a soft ground ball to third baseman Andruw Monasterio.   Andrew McCutchen to 2nd.,R,L,R,MIL,PIT,X,5.0,ground_ball,1,0,2024,0.32,0.72,-0.04,2.29,,,457705.0,1,1,Top,111.82,187.83,,,,,1.8589542564279629,-128.81330793067863,-5.131775802800785,3.2118029883311103,25.13570418674105,-23.328655000580156,3.85,1.78,2.0,27.9,-46.0,87.8,2495.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.82,0.294,0.32,0.9,1.0,1.0,0.0,1.0,3,2,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,181.0,-0.035,0.435,79.3,8.9,0.294,-0.435,88.0,0,0,0.497,0.503,29,25,29,26,1,0,6.0,3.0,10.0,2.0,2.18,-0.32,0.32,46.6,100,FF,92.0,Oneil Cruz,80.75123416577064,8.004638369570461,-1.451234165770643,0.8953616304295391
ST,2024-07-11,79.6,-1.11,6.23,"Civale, Aaron",665833,650644,,swinging_strike,,,,,13.0,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,,,0,0,2024,1.18,-0.24,-0.01,1.39,,,457705.0,2,3,Top,,,,,,,0.2213853392516667,-116.0432423026736,-3.46084942315773,10.621553169578378,20.62543655526417,-33.93996292935948,3.85,1.78,,,,79.3,2918.0,5.9,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.64,,,,,,,,20,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,67.0,0.0,-0.039,73.3,9.3,,0.039,,0,0,0.528,0.472,29,25,29,26,2,1,6.0,3.0,10.0,2.0,3.81,-1.18,1.18,41.0,100,FF,92.0,Oneil Cruz,74.87557034404918,8.610593893579537,-1.5755703440491828,0.6894061064204635
FF,2024-07-11,91.5,-1.06,6.25,"Civale, Aaron",665833,650644,,foul,,,,,1.0,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,,,0,1,2024,-0.22,1.46,-0.76,3.97,,,457705.0,2,3,Top,,,,,,,1.2079174293130646,-133.4072083824587,-3.0774511055410976,-2.8677824516713093,25.92373900416174,-14.18922428266331,3.85,1.78,213.0,80.5,58.0,91.1,2378.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.81,,,,,,,,20,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206.0,0.0,-0.046,69.2,6.6,,0.046,88.0,0,0,0.528,0.472,29,25,29,26,2,1,6.0,3.0,10.0,2.0,1.23,0.22,-0.22,42.4,100,FF,92.0,Oneil Cruz,67.0053663490281,6.15151608959237,2.194633650971909,0.4484839104076297
FC,2024-07-11,87.3,-1.08,6.33,"Civale, Aaron",665833,650644,,foul,,,,,11.0,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,,,1,2,2024,0.6,0.46,-0.98,3.58,,,457705.0,2,3,Top,,,,,,,-0.9879747736405452,-127.33360601641328,-1.5342690545971338,6.765285142328263,21.6694160004787,-27.02968470610067,3.85,1.78,156.0,74.2,16.0,87.1,2665.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.85,,,,,,,,20,4,Cutter,0,0,0,0,0,0,0,0,Standard,Standard,151.0,0.0,0.0,64.9,6.4,,0.0,88.0,0,0,0.528,0.472,29,25,29,26,2,1,6.0,3.0,10.0,2.0,2.48,-0.6,0.6,47.4,100,FF,92.0,Oneil Cruz,71.61386206093083,6.9609445659227225,-6.713862060930822,-0.5609445659227221
SI,2024-07-11,92.1,-1.24,6.18,"Civale, Aaron",665833,650644,,foul,,,,,2.0,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,,,1,2,2024,-1.05,1.04,0.13,3.75,,,457705.0,2,3,Top,,,,,,,5.682963345537059,-134.06396126684749,-2.6003371361473864,-13.820803804050673,27.522369950935385,-19.225689010475868,3.85,1.78,204.0,86.5,64.0,91.4,2309.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.76,,,,,,,,20,5,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,0.0,71.7,6.1,,0.0,88.0,0,0,0.528,0.472,29,25,29,26,2,1,6.0,3.0,10.0,2.0,1.63,1.05,-1.05,43.0,100,FF,92.0,Oneil Cruz,74.84874224664311,6.3206290762592285,-3.14874224664311,-0.2206290762592289
ST,2024-07-11,79.4,-1.24,5.98,"Civale, Aaron",665833,650644,strikeout,swinging_strike,,,,,7.0,Oneil Cruz strikes out swinging.,R,L,R,MIL,PIT,S,2.0,,2,2,2024,1.42,-0.26,-0.61,1.87,,,457705.0,2,3,Top,,,,,,,-1.2510665873375937,-115.67117744864854,-1.7998787930935225,12.997866114972265,20.349457185705592,-34.43889057654334,3.85,1.78,,,,79.0,3041.0,5.8,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.72,,0.0,0.0,1.0,0.0,0.0,,20,7,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,62.0,0.026,-0.197,72.5,9.1,,0.197,,0,0,0.528,0.472,29,25,29,26,2,1,6.0,3.0,10.0,2.0,3.85,-1.42,1.42,39.2,100,FF,92.0,Oneil Cruz,77.08343873615209,8.45713911197926,-4.58343873615209,0.6428608880207403
SI,2024-07-11,92.8,-1.26,6.08,"Civale, Aaron",665833,650644,,foul,,,,,2.0,Oneil Cruz flies out to right fielder Garrett Mitchell.,R,L,R,MIL,PIT,S,,,1,1,2024,-1.03,0.92,0.16,3.24,,,,1,6,Top,,,,,,,5.812152588822725,-135.0578872932343,-3.4892453226996456,-13.844278356156329,27.0556293566562,-20.30915630118117,3.85,1.78,208.0,74.1,35.0,92.2,2292.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.75,,,,,,,,38,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.0,-0.039,78.3,6.4,,0.039,88.0,0,0,0.533,0.467,29,25,29,26,3,2,6.0,3.0,10.0,2.0,1.71,1.03,-1.03,39.1,100,FF,92.0,Oneil Cruz,77.96669378797547,6.581789499334524,0.3333062120245245,-0.18178949933452326
CU,2024-07-11,76.6,-0.89,6.39,"Civale, Aaron",665833,650644,field_out,hit_into_play,,,,,7.0,Oneil Cruz flies out to right fielder Garrett Mitchell.,R,L,R,MIL,PIT,X,9.0,fly_ball,1,2,2024,1.0,-1.54,-0.29,1.74,,,,1,6,Top,183.75,81.15,,,,,-0.5394398273732107,-111.50704043505986,0.0444323107326449,8.383990194968836,22.499383425467727,-45.14667620811523,3.85,1.78,323.0,87.7,34.0,75.5,3105.0,5.7,745967,661388,641343,668930,655316,642715,686217,663368,669003,54.76,0.023,0.03,0.0,1.0,0.0,0.0,3.0,38,4,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,38.0,0.025,-0.115,78.3,8.7,0.051,0.115,88.0,0,0,0.533,0.467,29,25,29,26,3,2,6.0,3.0,10.0,2.0,5.46,-1.0,1.0,50.0,100,FF,92.0,Oneil Cruz,75.42233187165773,8.255171445396527,2.8776681283422647,0.4448285546034718
FF,2024-09-26,92.1,-1.05,6.42,"Civale, Aaron",665833,650644,,swinging_strike,,,,,3.0,Oneil Cruz strikes out swinging.,R,L,R,PIT,MIL,S,,,0,1,2024,-0.48,1.37,0.43,3.25,,,,2,1,Bot,,,,,,,4.725632460564976,-134.00586493860052,-5.077927262474395,-6.895525738621009,31.34528361394706,-14.775294003229844,3.83,1.76,,,,90.5,2396.0,5.5,745443,606992,641343,668930,687401,642715,686217,663368,669003,54.98,,,,,,,,6,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Strategic,206.0,0.0,-0.022,83.7,7.0,,0.022,,0,0,0.51,0.51,29,25,29,26,1,0,5.0,1.0,5.0,1.0,1.33,0.48,-0.48,48.0,86,FF,92.0,Oneil Cruz,77.46177843939338,6.461523087841256,6.238221560606618,0.5384769121587443
